CELL_LINE_NAME	AEW541	Nilotinib	17-AAG	PHA-665752	Lapatinib	Nutlin-3	AZD0530	PF2341066	L-685458	ZD-6474	Panobinostat	Sorafenib	Irinotecan	Topotecan	LBW242	PD-0325901	PD-0332991	Paclitaxel	AZD6244	PLX4720	RAF265	TAE684	TKI258	Erlotinib
Hs 944.T	0	1	-1	1	1	1	0	0	1	0	-1	0	-1	-1	-1	-1	1	-1	-1	0	-1	0	0	1
HSC-2	1	1	-1	1	0	1	0	1	1	0	-1	0	-1	-1	1	1	1	-1	1	1	0	1	0	0
HT	1	1	-1	1	0	0	0	0	-1	0	-1	0		-1	0	0	1	-1	0	1	0	-1	1	0
HT-1080	0		-1	1	1	1	1	0	1	0	-1	1		-1	0	-1	1	-1	0	1	0	0	0	1
HT-1197	0	1	0	1	1	1	0	1	1	0	-1	1	0	0	1	-1	1	0	0	1	0	0	0	1
HT-1376	0	1	-1	1	0	0	0	0	1	0	-1	1	0	1	0	0	1	-1	0	0	-1	0	0	0
HT-144	0	0	-1	1	0	0	1	0	1	0	-1	0	-1	-1	1	-1	1	-1	-1	-1	-1	0	0	0
HT-29	0	1	-1	1	0	1	0	0	1	0	-1	0	-1	-1	1	-1	1	-1	-1	0	-1	-1	0	1
HuCCT1	1	1	-1	1	0	1	1	0	1	0	-1	1	-1	-1	1	-1	1	-1	0	1	0	0	0	1
huH-1	0	1	-1	1	1	1	0	1	1	1	-1	1	-1	-1	1	1	0	-1	1	1	0	0	0	1
HUP-T3	0	1	-1	1	1	1	0	1	1	0	-1	1	-1	0	0	-1	1	-1	0	1	0	1	0	1
HUP-T4	-1	0	-1	0	0	0	-1	0	0	-1	-1	1		-1	0	-1	0	-1	-1	1	-1	-1	0	0
HuT 78	0	0	-1	0	0	0	0	0	0	0	-1	0		-1	-1	-1	0	-1	-1	1	0	0	0	0
IA-LM	0	0	0	0	0	1	1	0	1	0	-1	0	-1	-1	0	0	1	0	1	1	-1	1	0	1
IGR-37	0	0	-1	1	1	0	0	0	1	0	-1	0	-1	-1	1	-1	0	-1	-1	-1	-1	0	0	1
IGR-39	0	1	-1	0	1	1	0	0	1	0	-1	1	-1	-1	0	0	1	-1	0	1	0	0	0	1
IGROV1	1	1	-1	1	0	1	0	1	1		-1	0	-1	-1	1	0	1	-1	0		0	0	0	0
